Fasta headers	Hypo 42	Hypo 42	Hypo 42	Hypo 45	Hypo 45	Hypo 45	Hypo CH	Hypo CH	Hypo CH	Hypo W3
tr|A0A075B5L0|A0A075B5L0_MOUSE Immunoglobulin kappa variable 10-95 OS=Mus musculus GN=Igkv10-95 PE=4 SV=7;tr|A2NVF0|A2NVF0_MOUSE Immnuoglobulin kappa light chain (Fragment) OS=Mus musculus PE=4 SV=1;tr|A2NVE9|A2NVE9_MOUSE Immnuoglobulin kappa light chain (	13934000	13975000	14054000	16153000	14881000	16044000	20526000	14131000	17035000	8698700
tr|A0A075B5N7|A0A075B5N7_MOUSE Immunoglobulin kappa variable 6-13 OS=Mus musculus GN=Igkv6-13 PE=1 SV=7	9305000	8966200	8249300	9350800	9478100	9573000	12879000	8326200	9724700	5113500
tr|A0A075B5N9|A0A075B5N9_MOUSE Immunoglobulin kappa variable 3-7 OS=Mus musculus GN=Igkv3-7 PE=4 SV=7;tr|Q920E9|Q920E9_MOUSE Pterin-mimicking anti-idiotope kappa chain variable region (Fragment) OS=Mus musculus PE=4 SV=1;tr|Q65ZN3|Q65ZN3_MOUSE Rheumatoid f	8585500	8275300	8409500	9206000	8889000	9138800	12512000	7744500	9797100	4218700
tr|A0A075B5P3|A0A075B5P3_MOUSE Immunoglobulin heavy constant gamma 2B (Fragment) OS=Mus musculus GN=Ighg2b PE=1 SV=1;tr|A0A0F7R1P3|A0A0F7R1P3_MOUSE MAb 106 heavy chain OS=Mus musculus GN=HC PE=2 SV=1;tr|A0A0F7QZE4|A0A0F7QZE4_MOUSE MAb 110 heavy chain OS=Mu	6932100	6385300	6655600	7187100	7663100	7300700	9929100	5978300	7433000	3546600
tr|A0A075B5P6|A0A075B5P6_MOUSE Ig mu chain C region (Fragment) OS=Mus musculus GN=Ighm PE=1 SV=1;tr|A0A075B6A0|A0A075B6A0_MOUSE Ig mu chain C region (Fragment) OS=Mus musculus GN=Ighm PE=1 SV=2;sp|P01872|IGHM_MOUSE Ig mu chain C region OS=Mus musculus GN=I	8486900	8042300	8090700	8015400	8876200	8885400	12904000	8066200	10171000	4406100
tr|Q7JCZ1|Q7JCZ1_MOUSE Cytochrome c oxidase subunit 2 OS=Mus musculus GN=mt-Co2 PE=1 SV=1;tr|A0A075DC90|A0A075DC90_MOUSE Cytochrome c oxidase subunit 2 OS=Mus musculus GN=COX2 PE=3 SV=1;sp|P00405|COX2_MOUSE Cytochrome c oxidase subunit 2 OS=Mus musculus GN	7856700	8216500	7232200	7814200	8412600	7686700	10400000	6343800	7589400	3968000
tr|A0A075DC92|A0A075DC92_MOUSE NADH-ubiquinone oxidoreductase chain 4L OS=Mus musculus GN=ND4L PE=3 SV=1;tr|Q9MD77|Q9MD77_MOUSE NADH-ubiquinone oxidoreductase chain 4L OS=Mus musculus GN=mt-Nd4l PE=1 SV=1;tr|Q7YBV2|Q7YBV2_MOUSE NADH-ubiquinone oxidoreducta	13054000	11908000	11202000	11596000	18238000	12733000	19027000	12423000	13631000	7225000
tr|Q3TNL9|Q3TNL9_MOUSE NADH-ubiquinone oxidoreductase chain 1 (Fragment) OS=Mus musculus GN=mt-Nd1 PE=2 SV=1;tr|Q4JFN6|Q4JFN6_MOUSE NADH-ubiquinone oxidoreductase chain 1 OS=Mus musculus GN=mt-Nd1 PE=3 SV=1;tr|G3EB90|G3EB90_MOUSE NADH-ubiquinone oxidoreduc	7431000	7542300	6723700	7094200	9241700	7253400	11116000	6989600	8349700	4000500
tr|Q7JCX7|Q7JCX7_MOUSE Cytochrome c oxidase subunit 3 OS=Mus musculus GN=mt-Co3 PE=1 SV=1;tr|Q7JCA9|Q7JCA9_MOUSE Cytochrome c oxidase subunit 3 OS=Mus musculus GN=COX3 PE=3 SV=1;tr|G3EBA9|G3EBA9_MOUSE Cytochrome c oxidase subunit 3 OS=Mus musculus GN=COX3 	9622100	9265500	8636900	9764600	14287000	9988000	13804000	9430900	10946000	6610900
tr|W0TGY1|W0TGY1_MOUSE NADH-ubiquinone oxidoreductase chain 4 OS=Mus musculus GN=ND4 PE=3 SV=1;tr|Q9ME04|Q9ME04_MOUSE NADH-ubiquinone oxidoreductase chain 4 OS=Mus musculus GN=ND4 PE=3 SV=1;tr|Q7JCY6|Q7JCY6_MOUSE NADH-ubiquinone oxidoreductase chain 4 OS=M	6853300	6449800	6442600	7123000	8400500	7070300	9574400	6330300	7493700	4157000
tr|Q7GIP5|Q7GIP5_MOUSE NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus GN=mt-Nd3 PE=2 SV=1;tr|A0A141CM22|A0A141CM22_MOUSE NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus GN=ND3 PE=3 SV=1;tr|A0A075DCW1|A0A075DCW1_MOUSE NADH-ubiquinone oxidored	8750400	6591500	7395600	7855800	12883000	9079100	11879000	7869500	8182300	4756200
tr|Q3V2T7|Q3V2T7_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=mt-Cytb PE=2 SV=1;tr|B3Y998|B3Y998_MOUSE Cytochrome b (Fragment) OS=Mus musculus GN=cytb PE=4 SV=1;tr|A0A1S6PXN4|A0A1S6PXN4_MOUSE Cytochrome b (Fragment) OS=Mus musculus 	4884100	4506000	4569200	5174300	6877000	5188100	6501900	4717500	5120900	2801600
tr|Q52L52|Q52L52_MOUSE Hsf1 protein OS=Mus musculus GN=Hsf1 PE=2 SV=1;tr|A0A075F882|A0A075F882_MOUSE Heat shock factor 1, isoform CRA_a OS=Mus musculus GN=Hsf1 PE=2 SV=1;tr|A0A075F891|A0A075F891_MOUSE Heat shock factor 1, isoform CRA_f OS=Mus musculus GN=H	5790200	6351500	5217800	5957800	8608200	5872600	8925100	5908300	7075200	3746700
tr|A0A076FRG6|A0A076FRG6_MOUSE KCC2a variant 1 OS=Mus musculus GN=Slc12a5 PE=2 SV=1;sp|Q91V14|S12A5_MOUSE Solute carrier family 12 member 5 OS=Mus musculus GN=Slc12a5 PE=1 SV=2;tr|A0A076FR46|A0A076FR46_MOUSE KCC2a-S25 variant 1 OS=Mus musculus GN=Slc12a5 P	5881700	5927900	5774700	5757500	8127600	6042400	8936800	5552500	6758900	3127100
tr|A0A076FSX1|A0A076FSX1_MOUSE KCC2b variant 2 OS=Mus musculus GN=Slc12a5 PE=2 SV=1;sp|Q91V14-2|S12A5_MOUSE Isoform 2 of Solute carrier family 12 member 5 OS=Mus musculus GN=Slc12a5	2526900	2562200	2281200	2375400	3953300	2622100	3967000	2589200	3019000	1599500
tr|A0A077K846|A0A077K846_MOUSE Mannosyltransferase IV(V) OS=Mus musculus GN=Alg11 PE=2 SV=1;sp|Q3TZM9|ALG11_MOUSE GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Mus musculus GN=Alg11 PE=2 SV=1;sp|Q3TZM9-2|ALG11_MOUSE Isoform 2 of GDP-Man:M	6768400	6101800	6202100	6658100	8448200	7176600	9909200	6097300	7195600	3331800
tr|A0A087WP63|A0A087WP63_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus GN=Gm42715 PE=1 SV=1;tr|A0A087WNX7|A0A087WNX7_MOUSE Snf2-related CREBBP activator protein OS=Mus musculus GN=Srcap PE=1 SV=1;tr|A0A087WNL7|A0A087WNL7_MOUSE Snf2-related CREBB	6152700	5819800	4862900	6707100	4098300	6067100	7147600	4783200	5187500	3432400
tr|A0A087WR08|A0A087WR08_MOUSE Transcription initiation factor TFIID subunit 9 (Fragment) OS=Mus musculus GN=Taf9 PE=1 SV=1;tr|A0A087WQ57|A0A087WQ57_MOUSE Transcription initiation factor TFIID subunit 9 (Fragment) OS=Mus musculus GN=Taf9 PE=1 SV=1;tr|A0A08	10256000	11426000	9741100	9704600	12607000	10629000	17551000	10665000	13120000	5043400
tr|G5E8B6|G5E8B6_MOUSE Kin of IRRE like 3 (Drosophila), isoform CRA_b OS=Mus musculus GN=Kirrel3 PE=1 SV=1;tr|A0A087WNM9|A0A087WNM9_MOUSE Kin of IRRE-like protein 3 OS=Mus musculus GN=Kirrel3 PE=1 SV=1;sp|Q8BR86-4|KIRR3_MOUSE Isoform 4 of Kin of IRRE-like 	7145100	7526100	6683900	6444600	8489700	7126000	11430000	7195100	8233300	3805700
tr|A0A087WNN8|A0A087WNN8_MOUSE Sterol O-acyltransferase 1 (Fragment) OS=Mus musculus GN=Soat1 PE=1 SV=1;tr|Q06EZ3|Q06EZ3_MOUSE O-acyltransferase OS=Mus musculus GN=Soat1 PE=2 SV=1;sp|Q61263|SOAT1_MOUSE Sterol O-acyltransferase 1 OS=Mus musculus GN=Soat1 PE	3132500	3143200	3027200	3380500	3486200	3397800	4601000	2846200	3565600	1591400
tr|A0A087WNP6|A0A087WNP6_MOUSE Protein CDV3 OS=Mus musculus GN=Cdv3 PE=1 SV=1;sp|Q4VAA2-2|CDV3_MOUSE Isoform 2 of Protein CDV3 OS=Mus musculus GN=Cdv3;sp|Q4VAA2|CDV3_MOUSE Protein CDV3 OS=Mus musculus GN=Cdv3 PE=1 SV=2;tr|A0A087WRM0|A0A087WRM0_MOUSE Protei	5580600	3939300	3791000	5273700	2205900	5298900	5229900	3309700	3982700	3042300
tr|A0A087WQE6|A0A087WQE6_MOUSE Elongin-C (Fragment) OS=Mus musculus GN=Eloc PE=1 SV=1;tr|A0A087WNT1|A0A087WNT1_MOUSE Elongin-C OS=Mus musculus GN=Eloc PE=1 SV=1;sp|P83940|ELOC_MOUSE Elongin-C OS=Mus musculus GN=Eloc PE=1 SV=1;tr|A0A087WPE4|A0A087WPE4_MOUSE	5290300	4618500	4984800	5969800	5342200	5739300	6839700	3896100	5296100	2655600
tr|A0A087WNU6|A0A087WNU6_MOUSE Leucine-rich repeat flightless-interacting protein 1 (Fragment) OS=Mus musculus GN=Lrrfip1 PE=1 SV=1	10714000	10404000	9778700	10350000	14837000	11167000	14048000	8866300	11092000	6575600
tr|A0A087WNV1|A0A087WNV1_MOUSE Arf-GAP domain and FG repeat-containing protein 1 OS=Mus musculus GN=Agfg1 PE=1 SV=1;tr|A0A087WSR7|A0A087WSR7_MOUSE Arf-GAP domain and FG repeat-containing protein 1 OS=Mus musculus GN=Agfg1 PE=1 SV=1;tr|A0A087WR52|A0A087WR52	7165500	6821400	6669700	6945100	6469400	7462800	11384000	6929000	8381900	3450000
tr|A0A087WRP7|A0A087WRP7_MOUSE Lymphocyte antigen 6C1 (Fragment) OS=Mus musculus GN=Ly6c1 PE=1 SV=1;tr|A0A087WNZ5|A0A087WNZ5_MOUSE Lymphocyte antigen 6C1 OS=Mus musculus GN=Ly6c1 PE=1 SV=1;sp|P0CW02|LY6C1_MOUSE Lymphocyte antigen 6C1 OS=Mus musculus GN=Ly6	2494400	2538100	2366600	2390500	2562900	2660300	3898400	2461700	2954700	1259400
tr|A0A087WSJ9|A0A087WSJ9_MOUSE Regulator of G-protein-signaling 6 OS=Mus musculus GN=Rgs6 PE=1 SV=1;tr|A0A087WPW1|A0A087WPW1_MOUSE Regulator of G-protein-signaling 6 OS=Mus musculus GN=Rgs6 PE=1 SV=1;tr|F6WDS8|F6WDS8_MOUSE Regulator of G-protein-signaling 	7280300	6450800	6691700	7423800	6750900	7324000	8816300	5476500	6771300	3236300
tr|A0A087WP01|A0A087WP01_MOUSE Cell division cycle 34B OS=Mus musculus GN=Cdc34b PE=3 SV=1;tr|A0A140T8I4|A0A140T8I4_MOUSE Cell division cycle 34B OS=Mus musculus GN=Cdc34b PE=3 SV=1;tr|A0A1W2P7U1|A0A1W2P7U1_MOUSE Ubiquitin-conjugating enzyme E2 R1 OS=Mus m	5046900	5048600	4741400	4964400	5855700	5152000	7703200	4884400	5723900	2684100
tr|A0A087WP48|A0A087WP48_MOUSE Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1;tr|A0A087WQD0|A0A087WQD0_MOUSE Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1;tr|A0A087WPW5|A0A087WPW5_MOUSE Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1;tr|A0A087WP85|A0A087WP85_MOUSE Kin	4908100	4830800	4765400	4972600	4639500	5345300	7467600	4513100	5765400	2497100
tr|A0A087WP69|A0A087WP69_MOUSE Dual serine/threonine and tyrosine protein kinase OS=Mus musculus GN=Dstyk PE=1 SV=1;sp|Q6XUX1-3|DUSTY_MOUSE Isoform 3 of Dual serine/threonine and tyrosine protein kinase OS=Mus musculus GN=Dstyk;sp|Q6XUX1-2|DUSTY_MOUSE Isof	7820000	7605000	7048300	6852500	11541000	8054900	12001000	7079200	8213200	4121500
tr|Q3TYE5|Q3TYE5_MOUSE Limbic system-associated membrane protein OS=Mus musculus GN=Lsamp PE=1 SV=1;tr|A0A087WP80|A0A087WP80_MOUSE Limbic system-associated membrane protein OS=Mus musculus GN=Lsamp PE=1 SV=1;sp|Q8BLK3|LSAMP_MOUSE Limbic system-associated m	2975300	2801600	2821800	3082200	2742300	3163300	4108200	2555100	3141000	1406700
tr|A0A087WP86|A0A087WP86_MOUSE Actin-related protein 3 (Fragment) OS=Mus musculus GN=Actr3 PE=1 SV=1	5882100	7313900	10118000	7371300	10227000	6926800	7569000	5634800	4943800	3486300
tr|E0CY18|E0CY18_MOUSE AN1-type zinc finger protein 2B (Fragment) OS=Mus musculus GN=Zfand2b PE=1 SV=1;tr|A0A087WPF5|A0A087WPF5_MOUSE AN1-type zinc finger protein 2B (Fragment) OS=Mus musculus GN=Zfand2b PE=1 SV=1;sp|Q91X58|ZFN2B_MOUSE AN1-type zinc finger	5679800	5765700	4794400	4902200	6843800	5814500	7634300	5257400	5447500	3708800
sp|Q3UZ39-2|LRRF1_MOUSE Isoform 2 of Leucine-rich repeat flightless-interacting protein 1 OS=Mus musculus GN=Lrrfip1;tr|A6H5U5|A6H5U5_MOUSE Lrrfip1 protein OS=Mus musculus GN=Lrrfip1 PE=2 SV=1;tr|A0A087WPK3|A0A087WPK3_MOUSE Leucine-rich repeat flightless-i	5727300	5988300	5492700	5880500	9111500	5868600	8734000	5359700	6974400	3319000
tr|A0A087WQT9|A0A087WQT9_MOUSE Voltage-dependent L-type calcium channel subunit alpha OS=Mus musculus GN=Cacna1c PE=1 SV=1;tr|Q5S8D1|Q5S8D1_MOUSE Voltage-dependent L-type calcium channel subunit alpha OS=Mus musculus GN=Cacna1c PE=2 SV=1;tr|F8WJL1|F8WJL1_M	5164400	4939000	5013900	5542800	7991400	5610500	7690500	4797900	5982100	3033700
tr|A0A087WPP8|A0A087WPP8_MOUSE Abl interactor 2 OS=Mus musculus GN=Abi2 PE=1 SV=1;tr|Q6AXH6|Q6AXH6_MOUSE Abi2 protein OS=Mus musculus GN=Abi2 PE=1 SV=1;tr|Q6AXD2|Q6AXD2_MOUSE Abi2 protein OS=Mus musculus GN=Abi2 PE=1 SV=1;sp|P62484|ABI2_MOUSE Abl interacto	5797000	6531500	5779400	6298300	7294800	6158400	9381500	5853300	7363400	3371700
tr|A0A087WPR1|A0A087WPR1_MOUSE Myelin-associated glycoprotein OS=Mus musculus GN=Mag PE=1 SV=1;sp|P20917|MAG_MOUSE Myelin-associated glycoprotein OS=Mus musculus GN=Mag PE=1 SV=2;tr|Q3ZB61|Q3ZB61_MOUSE Mag protein (Fragment) OS=Mus musculus GN=Mag PE=2 SV=	5598700	5633800	5408700	5648200	7948800	5878200	9170300	5943700	6661600	2800400
tr|A0A087WPR7|A0A087WPR7_MOUSE Dystonin (Fragment) OS=Mus musculus GN=Dst PE=1 SV=1	4806100	4947100	4320500	4201200	5820700	4803200	7808700	4799200	5680500	2427600
tr|A0A087WPT7|A0A087WPT7_MOUSE Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (Fragment) OS=Mus musculus GN=Inppl1 PE=1 SV=1;sp|Q6P549|SHIP2_MOUSE Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus GN=Inppl1 PE=1 SV=1;tr|A0A	5323400	5005500	4749000	5014800	6000600	5089800	7538500	4553100	5458000	2401200
tr|A0A087WPX3|A0A087WPX3_MOUSE Neurofascin OS=Mus musculus GN=Nfasc PE=1 SV=1;tr|A0A087WR56|A0A087WR56_MOUSE Neurofascin (Fragment) OS=Mus musculus GN=Nfasc PE=1 SV=1;tr|A0A087WNW2|A0A087WNW2_MOUSE Neurofascin OS=Mus musculus GN=Nfasc PE=1 SV=1	4986700	4896400	4972100	5285300	5009400	5285500	7734900	4676300	5915800	2524800
tr|A0A087WQ11|A0A087WQ11_MOUSE S-phase kinase-associated protein 2 OS=Mus musculus GN=Skp2 PE=1 SV=1;tr|Q569Z9|Q569Z9_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Skp2 PE=2 SV=1;sp|Q9Z0Z3-2|SKP2_MOUSE Isoform 2 of S-phase kinase-associated pro	3911200	3671800	3747300	3952500	2661800	4075800	5287900	3456800	3947200	1829900
tr|A0A087WQ28|A0A087WQ28_MOUSE RIKEN cDNA 2410004B18 gene (Fragment) OS=Mus musculus GN=2410004B18Rik PE=1 SV=1	4216600	3993900	3853300	4296600	4244000	4470200	6097800	3860900	4578800	2380400
tr|A0A087WQ61|A0A087WQ61_MOUSE Ras-specific guanine nucleotide-releasing factor RalGPS2 OS=Mus musculus GN=Ralgps2 PE=1 SV=1;tr|A0A087WQU0|A0A087WQU0_MOUSE Ras-specific guanine nucleotide-releasing factor RalGPS2 OS=Mus musculus GN=Ralgps2 PE=1 SV=1;tr|Q8C	4163900	4085200	3784600	3859700	4728500	4185700	6407400	3890800	4505400	2165900
tr|A0A087WQ65|A0A087WQ65_MOUSE Lymphocyte antigen 6E (Fragment) OS=Mus musculus GN=Ly6e PE=1 SV=1;tr|A0A087WNS9|A0A087WNS9_MOUSE Lymphocyte antigen 6E (Fragment) OS=Mus musculus GN=Ly6e PE=1 SV=6;tr|Q8JZT1|Q8JZT1_MOUSE Ly6e protein (Fragment) OS=Mus muscul	2717000	2759600	2717700	3100000	2357100	3020400	4280800	2623600	3277400	1368900
tr|A0A087WQB0|A0A087WQB0_MOUSE Mortality factor 4-like protein 1 OS=Mus musculus GN=Morf4l1 PE=1 SV=1;tr|Q3UIS6|Q3UIS6_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Morf4l1 PE=2 SV=1;tr|Q569V4|Q569V4_MOUSE MCG125079 OS=Mus musculus G	4618900	4579300	4249000	4111100	4148300	4642900	7332900	4570200	5370700	2349700
tr|A0A087WR42|A0A087WR42_MOUSE Transmembrane protein 237 (Fragment) OS=Mus musculus GN=Tmem237 PE=1 SV=1;tr|A0A087WQC2|A0A087WQC2_MOUSE Transmembrane protein 237 (Fragment) OS=Mus musculus GN=Tmem237 PE=1 SV=1;sp|Q3V0J1-3|TM237_MOUSE Isoform 3 of Transmemb	4264900	3830100	3745400	4448100	6057900	4318200	5537400	3603600	4185200	2376700
tr|A0A087WQD8|A0A087WQD8_MOUSE TRAF3-interacting protein 1 OS=Mus musculus GN=Traf3ip1 PE=1 SV=1;sp|Q149C2|MIPT3_MOUSE TRAF3-interacting protein 1 OS=Mus musculus GN=Traf3ip1 PE=1 SV=2	4558000	4283600	4424400	4787400	5490700	4722000	5935800	3601600	4578600	2121400
tr|Q6TA13|Q6TA13_MOUSE Kinesin-like protein KIF1A OS=Mus musculus GN=Kif1a PE=1 SV=1;tr|A0A087WQE8|A0A087WQE8_MOUSE Kinesin-like protein KIF1A OS=Mus musculus GN=Kif1a PE=1 SV=1;tr|Q6P5H4|Q6P5H4_MOUSE Kif1a protein OS=Mus musculus GN=Kif1a PE=2 SV=1;tr|E9Q	4963900	5210800	4966200	5515900	6073100	5396100	7453000	4681500	5819700	2844100
tr|A0A087WQE9|A0A087WQE9_MOUSE Ankyrin repeat and SOCS box protein 1 OS=Mus musculus GN=Asb1 PE=1 SV=1;tr|Q9D9S9|Q9D9S9_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Asb1 PE=2 SV=1;tr|G3X9J5|G3X9J5_MOUSE Ankyrin repeat and SOCS box protein 1 OS	3421800	3559900	3254400	3483100	3266600	3540900	5285800	3112200	3880100	1623800
tr|A0A087WQF0|A0A087WQF0_MOUSE Phospholipid phosphatase-related protein type 2 OS=Mus musculus GN=Plppr2 PE=1 SV=1;sp|Q8VCY8-2|PLPR2_MOUSE Isoform 2 of Phospholipid phosphatase-related protein type 2 OS=Mus musculus GN=Plppr2;sp|Q8VCY8|PLPR2_MOUSE Phosphol	2386000	2177400	2218500	2524000	3033800	2392100	3257800	2011000	2422300	1195300
tr|A0A087WQF8|A0A087WQF8_MOUSE Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1;tr|A0A087WS04|A0A087WS04_MOUSE Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1;tr|A0A087WS29|A0A087WS29_MOUSE Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1;tr|A0A087WQG4|A0A087WQG4_MOUSE Kin	3326300	3492800	3089200	3172700	5317000	3441500	5323700	3326200	3950600	1991300
tr|A0A087WQH8|A0A087WQH8_MOUSE Probable UDP-sugar transporter protein SLC35A4 OS=Mus musculus GN=Slc35a4 PE=1 SV=1	3573400	3357000	3691200	3551800	3267200	3734100	4947600	3038500	3772100	1719600
tr|B7ZNP0|B7ZNP0_MOUSE alpha-1,2-Mannosidase OS=Mus musculus GN=Edem3 PE=1 SV=1;tr|B7ZNN9|B7ZNN9_MOUSE alpha-1,2-Mannosidase OS=Mus musculus GN=Edem3 PE=2 SV=1;tr|A0A087WQK5|A0A087WQK5_MOUSE alpha-1,2-Mannosidase OS=Mus musculus GN=Edem3 PE=1 SV=1;tr|A0A08	4654000	4549600	4468300	4767700	5791700	4851000	6673800	4253800	5146400	2655400
tr|A0A087WQN7|A0A087WQN7_MOUSE 5-3 exoribonuclease 1 OS=Mus musculus GN=Xrn1 PE=1 SV=1;tr|F8VQ87|F8VQ87_MOUSE 5-3 exoribonuclease 1 OS=Mus musculus GN=Xrn1 PE=1 SV=1;sp|P97789-3|XRN1_MOUSE Isoform 3 of 5-3 exoribonuclease 1 OS=Mus musculus GN=Xrn1;sp	3778600	3549600	3139100	3520200	4093500	3963600	5092900	3559700	3799700	2404300
tr|A0A087WQS0|A0A087WQS0_MOUSE Tensin 1 OS=Mus musculus GN=Tns1 PE=1 SV=1;tr|A0A1D5RM59|A0A1D5RM59_MOUSE Tensin 1 OS=Mus musculus GN=Tns1 PE=1 SV=1;tr|E9Q0S6|E9Q0S6_MOUSE Tensin 1 OS=Mus musculus GN=Tns1 PE=1 SV=1;tr|A0A087WRU0|A0A087WRU0_MOUSE Tensin 1 (F	4073200	3806100	3475200	3789300	4901800	3963800	5550700	3541600	4175900	2173000
