Fasta headers	Hippo 42	Hippo 42	Hippo 42	Hippo 45	Hippo 45	Hippo 45	Hippo CH	Hippo CH	Hippo CH	Hippo W3
tr|Q71LX8|Q71LX8_MOUSE Heat shock protein 84b OS=Mus musculus GN=Hsp90ab1 PE=1 SV=1;sp|P11499|HS90B_MOUSE Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3;tr|Q811H6|Q811H6_MOUSE Hsp90ab1 protein (Fragment) OS=Mus musculus GN=Hsp90ab1 PE	6943000	7111500	7102000	7410600	7478400	6593200	5732400	7511400	6871300	4379600
tr|D3YZ62|D3YZ62_MOUSE Unconventional myosin-Va OS=Mus musculus GN=Myo5a PE=1 SV=1;tr|D3Z4J3|D3Z4J3_MOUSE Unconventional myosin-Va OS=Mus musculus GN=Myo5a PE=1 SV=1;sp|Q99104|MYO5A_MOUSE Unconventional myosin-Va OS=Mus musculus GN=Myo5a PE=1 SV=2	7174600	7558200	7466800	7103400	7722600	6254000	5529500	7708800	6337200	3915500
"sp|P05202|AATM_MOUSE Aspartate aminotransferase, mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1"	7037000	7276700	7141600	7424400	7330000	6282900	5635500	6999300	6295500	6285700
tr|Q3U2G2|Q3U2G2_MOUSE Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1;tr|Q571M2|Q571M2_MOUSE MKIAA4025 protein (Fragment) OS=Mus musculus GN=Hspa4 PE=2 SV=1;tr|Q99L75|Q99L75_MOUSE Heat shock protein 4 OS=Mus musculus GN=Hspa4 PE=2 SV=1;sp|Q	6617900	6393800	6854300	7516000	7325500	6103100	5920600	7032300	6161000	3376700
tr|Q3TPT3|Q3TPT3_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Syt1 PE=2 SV=1;tr|H6RXZ1|H6RXZ1_MOUSE Synaptotagmin I OS=Mus musculus GN=Syt1 PE=1 SV=1;sp|P46096|SYT1_MOUSE Synaptotagmin-1 OS=Mus musculus GN=Syt1 PE=1 SV=1	5798800	6189700	6547500	7791700	6978200	5763400	6418900	5761600	5821300	2767700
"tr|Q0PD63|Q0PD63_MOUSE RAB3A, member RAS oncogene family, isoform CRA_a OS=Mus musculus GN=Rab3a PE=1 SV=1;sp|P63011|RAB3A_MOUSE Ras-related protein Rab-3A OS=Mus musculus GN=Rab3a PE=1 SV=1"	6191900	6754700	6412900	7315800	7033700	5821600	5565600	6270200	5554600	3333000
"sp|O55143|AT2A2_MOUSE Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus GN=Atp2a2 PE=1 SV=2;tr|Q5DTI2|Q5DTI2_MOUSE ATPase, Ca++ transporting, cardiac muscle, slow twitch 2, isoform CRA_b (Fragment) OS=Mus musculus GN=Atp2a2 PE=2 SV=1;tr|O"	6795000	6949000	6950000	6931900	7338600	5764400	5162300	6993600	5916600	3680500
tr|Q4FJL2|Q4FJL2_MOUSE Reticulon OS=Mus musculus GN=Rtn1 PE=1 SV=1;sp|Q8K0T0|RTN1_MOUSE Reticulon-1 OS=Mus musculus GN=Rtn1 PE=1 SV=1	5580000	5787600	6503500	7245900	7695700	5044900	6273600	6384800	5718900	2270100
tr|Q3UH59|Q3UH59_MOUSE Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=1;sp|Q61879|MYH10_MOUSE Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2;tr|Q80T68|Q80T68_MOUSE MKIAA3005 protein (Fragment) OS=Mus musculus GN=Myh10 PE=2 SV=1;tr|Q4KMN4|Q4KMN4_MOUSE Myh10 prote	6535400	6866600	6872600	6476300	7229700	5571200	4996900	7035000	5901900	4342700
"sp|P08249|MDHM_MOUSE Malate dehydrogenase, mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3"	5926100	6031500	6147100	7109000	6508800	5629400	5673000	5958100	5641900	4295700
sp|P08551|NFL_MOUSE Neurofilament light polypeptide OS=Mus musculus GN=Nefl PE=1 SV=5;tr|Q05DD2|Q05DD2_MOUSE Nefl protein (Fragment) OS=Mus musculus GN=Nefl PE=2 SV=1	5788600	5314000	6525800	7582100	6909800	4646800	6916600	5124500	5301800	4895300
sp|P12960|CNTN1_MOUSE Contactin-1 OS=Mus musculus GN=Cntn1 PE=1 SV=1	5860900	5453200	6207800	7007300	6647100	5467900	5779300	5916000	5603100	3871700
tr|Q3UHH0|Q3UHH0_MOUSE Calcium-transporting ATPase OS=Mus musculus GN=Atp2b2 PE=1 SV=1;tr|Q3UHJ3|Q3UHJ3_MOUSE Calcium-transporting ATPase OS=Mus musculus GN=Atp2b2 PE=1 SV=1;tr|F8WHB1|F8WHB1_MOUSE Calcium-transporting ATPase OS=Mus musculus GN=Atp2b2 PE=1 	6642700	6315800	6683300	6626800	7165400	5328100	5282700	6491800	5834700	2945200
"tr|A0A1L1STE6|A0A1L1STE6_MOUSE Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1;sp|Q9D6R2|IDH3A_MOUSE Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1;sp|Q9D6R2-2|IDH3A_M"	6617900	5571000	5775800	6990200	5949100	6072500	5292000	6017600	5710000	3895700
sp|P06745|G6PI_MOUSE Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi PE=1 SV=4;tr|B7ZWL9|B7ZWL9_MOUSE Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi1 PE=2 SV=1	6430000	7065000	6614000	6633600	6668100	5695600	4733800	6494600	5577000	5159400
tr|Q3UYK6|Q3UYK6_MOUSE Amino acid transporter OS=Mus musculus GN=Slc1a2 PE=2 SV=1;sp|P43006|EAA2_MOUSE Excitatory amino acid transporter 2 OS=Mus musculus GN=Slc1a2 PE=1 SV=1;tr|Q3USU5|Q3USU5_MOUSE Amino acid transporter OS=Mus musculus GN=Slc1a2 PE=2 SV=1	5967700	5819800	6209000	6673800	6819800	5270800	5180500	5916500	5555800	3994200
sp|Q60932-2|VDAC1_MOUSE Isoform Mt-VDAC1 of Voltage-dependent anion-selective channel protein 1 OS=Mus musculus GN=Vdac1;tr|Q3U6K8|Q3U6K8_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Vdac1 PE=2 SV=1;tr|Q3TIG8|Q3TIG8_MOUSE Putative uncharacteri	5462800	5761800	5941300	6801300	6246100	5683800	5342700	5617200	5423700	5449700
sp|P48962|ADT1_MOUSE ADP/ATP translocase 1 OS=Mus musculus GN=Slc25a4 PE=1 SV=4;tr|Q8BVI9|Q8BVI9_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Slc25a4 PE=2 SV=1	6128000	7162300	6110400	6614500	6373100	5603000	4626000	6480000	5707100	5540200
"sp|P14152|MDHC_MOUSE Malate dehydrogenase, cytoplasmic OS=Mus musculus GN=Mdh1 PE=1 SV=3"	6222200	6131800	6053500	6416100	6424800	5337600	5088800	6089500	5508000	4513900
"sp|P63038|CH60_MOUSE 60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1"	4937500	4555500	5386900	6831400	6008100	5176300	6727100	5136400	5337800	3810700
"tr|Q5SVJ0|Q5SVJ0_MOUSE Calcium/calmodulin-dependent protein kinase II, beta, isoform CRA_b OS=Mus musculus GN=Camk2b PE=1 SV=1;sp|P28652|KCC2B_MOUSE Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Mus musculus GN=Camk2b PE=1 SV=2;tr|Q5S"	6852700	6571500	6317700	6535300	6731300	4730200	4966400	6503000	5425200	3423600
tr|A0A0A6YY91|A0A0A6YY91_MOUSE Neural cell adhesion molecule 1 (Fragment) OS=Mus musculus GN=Ncam1 PE=1 SV=1	5090800	4466900	5468000	6756100	5992800	5138300	6178700	5294900	5419400	2741200
sp|Q80TJ1|CAPS1_MOUSE Calcium-dependent secretion activator 1 OS=Mus musculus GN=Cadps PE=1 SV=3;tr|K4DI76|K4DI76_MOUSE Calcium-dependent secretion activator 1 OS=Mus musculus GN=Cadps PE=1 SV=1;tr|J3QJW3|J3QJW3_MOUSE Calcium-dependent secretion activator 	6447800	6616100	6139800	5951100	6423600	5185500	4374800	6126800	5068600	2885500
tr|B2RRX2|B2RRX2_MOUSE Serine/threonine-protein phosphatase OS=Mus musculus GN=Ppp3ca PE=2 SV=1;sp|P63328|PP2BA_MOUSE Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Mus musculus GN=Ppp3ca PE=1 SV=1	5699800	5519900	5560500	6336100	6206600	4709500	4879700	5484000	5101000	5387400
sp|P17426-2|AP2A1_MOUSE Isoform B of AP-2 complex subunit alpha-1 OS=Mus musculus GN=Ap2a1;sp|P17426|AP2A1_MOUSE AP-2 complex subunit alpha-1 OS=Mus musculus GN=Ap2a1 PE=1 SV=1	6022600	6041600	6103500	5808100	6314300	4956000	4315700	5726900	4921800	3933900
tr|E9Q7S0|E9Q7S0_MOUSE Synaptojanin-1 OS=Mus musculus GN=Synj1 PE=1 SV=1;tr|F7BQW7|F7BQW7_MOUSE Synaptojanin-1 (Fragment) OS=Mus musculus GN=Synj1 PE=1 SV=1	5745300	6295900	6086000	5719300	6283200	4926100	4691800	6021600	4935700	3890700
tr|Q545P0|Q545P0_MOUSE Sodium/potassium-transporting ATPase subunit beta OS=Mus musculus GN=Atp1b1 PE=1 SV=1;tr|Q3TSQ1|Q3TSQ1_MOUSE Sodium/potassium-transporting ATPase subunit beta OS=Mus musculus GN=Atp1b1 PE=2 SV=1;sp|P14094|AT1B1_MOUSE Sodium/potassium	5894100	5215000	5411500	6127300	5514200	5191200	4707700	5582100	5116800	4214300
"tr|B9EHN0|B9EHN0_MOUSE Ubiquitin-activating enzyme E1, Chr X OS=Mus musculus GN=Uba1 PE=1 SV=1;tr|A0A1S6GWH5|A0A1S6GWH5_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;sp|Q02053|UBA1_MOUSE Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus"	5460500	5342600	5726500	5952400	6047700	4762400	4568000	5529900	4867100	3729000
sp|E9Q401|RYR2_MOUSE Ryanodine receptor 2 OS=Mus musculus GN=Ryr2 PE=1 SV=1;tr|F6U7V1|F6U7V1_MOUSE Ryanodine receptor 2 OS=Mus musculus GN=Ryr2 PE=1 SV=1	5891300	6312300	5903400	5636400	6327700	4787600	4121900	5888100	4855800	2617600
sp|Q8BPN8-2|DMXL2_MOUSE Isoform 2 of DmX-like protein 2 OS=Mus musculus GN=Dmxl2;sp|Q8BPN8|DMXL2_MOUSE DmX-like protein 2 OS=Mus musculus GN=Dmxl2 PE=1 SV=3;tr|B0V2P5|B0V2P5_MOUSE DmX-like protein 2 OS=Mus musculus GN=Dmxl2 PE=1 SV=1;tr|F6RYL8|F6RYL8_MOUSE	5901700	6279300	5974500	5487000	6212300	5026100	4132200	6039200	4975200	2907600
tr|B2RSN3|B2RSN3_MOUSE Tubulin beta chain OS=Mus musculus GN=Tubb2b PE=1 SV=1;sp|Q9CWF2|TBB2B_MOUSE Tubulin beta-2B chain OS=Mus musculus GN=Tubb2b PE=1 SV=1	5921400	5874300	5478400	6062800	5621700	5022700	4029300	5730400	5073100	4948000
